已写入 100 个随机整数到文件 build/data.dat

从文件 build/data.dat 读取数据:

整数[1] = -1243375164
整数[2] = -1271243591
整数[3] = -1839992305
整数[4] = 1258525997
整数[5] = -1753171064
整数[6] = 1457873544
整数[7] = 1239397129
整数[8] = 564945529
整数[9] = -647558454
整数[10] = -175006081
整数[11] = -1329710678
整数[12] = -834548322
整数[13] = -1492651965
整数[14] = -2069583614
整数[15] = -1948893760
整数[16] = 478726373
整数[17] = 1697272280
整数[18] = 1438531938
整数[19] = -734364074
整数[20] = -1484954836
整数[21] = 1592029711
整数[22] = -741430725
整数[23] = -941559739
整数[24] = -744844055
整数[25] = 1343214270
整数[26] = -1442060259
整数[27] = -846872047
整数[28] = 727931247
整数[29] = 990646020
整数[30] = 1554630254
整数[31] = 161106161
整数[32] = 1485674608
整数[33] = -880746371
整数[34] = -1978481010
整数[35] = -141743313
整数[36] = 456369090
整数[37] = -165755984
整数[38] = 916348220
整数[39] = -1313186894
整数[40] = -881242779
整数[41] = 1096871884
整数[42] = 2107843127
整数[43] = -802768167
整数[44] = -581051963
整数[45] = -733309548
整数[46] = 2139739688
整数[47] = 68448393
整数[48] = -901492165
整数[49] = -381380202
整数[50] = 1064329919
整数[51] = 1102730121
整数[52] = -1269826599
整数[53] = -471843422
整数[54] = -1707460325
整数[55] = 1664741900
整数[56] = 357234278
整数[57] = 194407802
整数[58] = 1994240622
整数[59] = -1919610993
整数[60] = 564742055
整数[61] = -891116858
整数[62] = -1969989920
整数[63] = 723299301
整数[64] = 144365280
整数[65] = 1955828810
整数[66] = 1972252340
整数[67] = 1138812815
整数[68] = 2017664154
整数[69] = -1743051686
整数[70] = -467238487
整数[71] = 759847249
整数[72] = 1632996005
整数[73] = 743064204
整数[74] = -1214601054
整数[75] = -1686460159
整数[76] = -1144917920
整数[77] = -1786989393
整数[78] = -701901432
整数[79] = -895777887
整数[80] = 1728864055
整数[81] = 1141111548
整数[82] = 529462639
整数[83] = -920634192
整数[84] = 1352684396
整数[85] = 1222624139
整数[86] = 2117341431
整数[87] = -2022723396
整数[88] = -114875110
整数[89] = 1824891144
整数[90] = 697356020
整数[91] = -1431225028
整数[92] = -1410988681
整数[93] = -1486817114
整数[94] = -786694831
整数[95] = -1060052580
整数[96] = 816319577
整数[97] = 365910866
整数[98] = -1689107407
整数[99] = 947641752
整数[100] = 637344251

--- 统计结果 ---
总和 = -613682171
平均值 = -6136821.71
